Outlet,Brand,Products Name,Volume/Weight,Satchet/Units,Price in RM
LOTUS,DUTCH LADY,DUTCH LADY UHT LOW FAT MILK 1L,1,1,5.89
LOTUS,DUTCH LADY,DUTCH LADY FULL CREAM UHT MILK 1L,1,1,5.89
LOTUS,DUTCH LADY,DUTCH LADY FULL CREAM UHT MILK 1LX12,1,12,69.48
LOTUS,DUTCH LADY,D/LADY UHT MILK COFFEE 200MLX6,0.2,6,9.6
LOTUS,DUTCH LADY,DUTCH LADY FULL CREAM UHT MILK 200MLX6,0.2,6,9.6
LOTUS,DUTCH LADY,DUTCH LADY LOW FAT UHT MILK 200MLX6,0.2,6,9.6
LOTUS,DUTCH LADY,DUTCH LADY UHT BANANA FLAVOURED MILK 200MLX6,0.2,6,9.65
LOTUS,DUTCH LADY,DUTCH LADY UHT CHOCOLATE MILK 200ML X 6S,0.2,6,9.6
LOTUS,DUTCH LADY,DUTCH LADY UHT CHOCOLATE MILK 200ML X 6S,0.2,6,9.6
LOTUS,DUTCH LADY,DUTCH LADY CHOCOLATE DRINK 900G,0.9,1,19.95
LOTUS,ENSURE,ENSURE GOLD VANILLA YBG 400G,0.4,1,59.9
LOTUS,ENSURE,ENSURE GOLD WHEAT YEAST BETA GLUCAN 400G,0.4,1,59.9
LOTUS,ENSURE,ENSURE GOLD PLANT-BASED 400G,0.4,1,59.9
LOTUS,ENSURE,ENSURE GOLD COFFEE YBG 800G,0.8,1,103.9
LOTUS,ENSURE,ENSURE GOLD VANILLA YBG 800G,0.8,1,103.9
LOTUS,ENSURE,ENSURE GOLD WHEAT YBG 800G,0.8,1,103.9
LOTUS,ENSURE,ENSURE GOLD ALMOND FLAVOURED PLANT-BASED 850G,0.85,1,103.9
LOTUS,EURY,EURY CAFE 25GX20S,0.025,20,17.99
LOTUS,EVERVESS,EVERVESS GINGER ALE 320ML,0.32,1,1.79
LOTUS,EVERVESS,EVERVESS TONIC 320ML,0.32,1,1.79
LOTUS,EVERVESS,EVERVESS SODA 320ML,0.32,1,1.79
LOTUS,EVERYDAY,EVERYDAY FILLED MILK POWDER 250G,0.25,1,12.5
LOTUS,EVERYDAY,EVERYDAY FILLED MILK POWDER 800G,0.8,1,27.3
LOTUS,EVIAN,EVIAN MINERAL WATER 1.5L,1.5,1,10.6
LOTUS,EVIAN,EVIAN NOMAD MINERAL WATER 750ML,0.75,1,8.2
LOTUS,F&N,F&N OUTRAGEOUS ORANGE CARBONATED DRINK 1.5L,1.5,1,3.45
LOTUS,F&N,F&N SARSI CARBONATED DRINK 1.5L,1.5,1,3.45
LOTUS,F&N,F&N SEASONS ICE LEMON TEA (A) PET 1.5L,1.5,1,3.95
LOTUS,F&N,FN GRAPE 1.5L,1.5,1,3.45
